# Item 100
## content
この画像は、結露、熱割れ、凍結対策および家鳴りに関する情報を提供しています。以下の内容が含まれています。

### 結露の防止対策
- 冬場や梅雨時に壁や押し入れ、窓などに水滴が付着することがある。
- 結露が発生しにくい温湿度は20〜23℃、40%程度が適当。
- 24時間換気を活用する。
- 窓ガラスや枠に結露が発生した場合は拭き取る。

### 換気を徹底しましょう
- 室内で洗濯物を干すと湿気が発生するため、換気・除湿機を使用。
- 石油ファンヒーターやガスストーブなどの燃焼型暖房器具からも湿気が発生するため、換気扇を使用。
- エア換気システムがない場合は、入浴後や調理後に換気を行う。
- ふだんから24時間換気システムの給気口やキッチンの換気口を開けておく。
- キッチンでガスレンジやお湯を使用する場合は換気扇を回す。
- 天気がいい日は窓を開けて空気の入れ替えを行う。

### 機器や設備を見直しましょう
- 結露のひどい部屋には除湿機の使用を推奨。
- 結露のひどい部屋では加湿器を使用しない。

### その他
- 暖房使用時は温度差が大きい場合、結露が発生しやすい。
- 押入れやクローゼットは通気を確保。
- 窓枠に5〜10cmのすき間を開けて通気スペースを確保。

### ハイムお客様センターのトラブル相談
- 水分が多いときの対策を相談可能。
- 結露がひどい場合はアフターサービス部門に相談。

この情報は、快適な室内環境を維持するための具体的な対策を示しています。

