# Item 109
## content
この画像は、キッチンの流し台の手入れ方法についての説明です。以下のポイントが含まれています。

### お手入れのポイント
- キッチンカウンターの手入れは、夕食の片付けの時に行うと、汚れが取りやすくなります。
- スポンジに食器用洗剤をつけて拭いた後、水拭きをします。

### カウンターのお手入れ
- カウンターはステンレス製、人工大理石製、ポストフォーム製に分かれます。
- 頑固な汚れは次の手順で掃除します。

#### ステンレス製のカウンター
- クリームクレンザーをスポンジにつけて磨き、水拭きします。
- 水を流すときにシミの原因となるので、使用後は水をよく拭き取ります。
- 金属たわしやナイロンたわし、粉末クレンザーは使用しないでください。
- シンクの水アカには、酸性の洗剤を使い、キッチン作業終了後に布で拭き取ります。

#### 人造大理石製のカウンター
- こびりついた汚れは、ナイロンたわしでクリームクレンザーを使って落とします。
- 最後に固く絞った布で水拭きします。
- キズがつきやすいので、まな板の代わりにしないでください。
- 表面に付いたひどい傷は、耐水性サンドペーパーで磨き、クレンザーとナイロンたわしで仕上げます。

