# Item 114
## content
この画像は掃除機を使ったゴミやホコリの取り除き方について説明しています。掃除機は後ろに下がりながら、吸い口を床に密着させてかけるのが基本です。掃除機本体を片手で持ち上げながら使うと、動きやすく効率よく作業できます。ノズルを取り替えることで、お掃除の能率も上がります。

**じゅうたんの掃除方法**
1. はじめに全体をジグザグにざっとかけます。
2. まっすぐ下がりながら毛足をそろえるように仕上げます。

**畳の掃除方法**
- 畳は目に沿ってかけます。畳の目に合わせず横に動かすと、効率が落ちるばかりかキズつけてしまいます。

**ノズルの種類**
- 布団ノズル：布団についたホコリやダニを吸い取ります。
- 先細ノズル：吸引力が強く、狭い場所や隅にたまったホコリを吸い取ります。
- ブラインドノズル：ブラインドのホコリを払いながら吸い取ります。
- はぼき：エアコンのフィルターや引き出しの中などのホコリを、ほうきのようにして吸い取ります。

**その他、便利なゴミ取り道具**
- ハンディクリーナー：机やテーブルの上、ソファのゴミ取りに便利です。
- ローラー式粘着テープ：じゅうたんの表面のホコリや、割れたコップの破片などを簡単に取ることができます。

