# Item 132
## content
この画像は「レンジフードファン」のお手入れ方法を説明するページです。以下の手順でファンを清掃します。

1. **本体操作スイッチ**：本体の切りスイッチを「ヒ」に合わせて電源を切ります。ブレーカーを下げて電源を切ることも推奨されています。

2. **オイルパネルの取り外し**：オイルパックを蒸気板から外したら、オイルパネルの取りつけネジを外し、前に取り外します。

3. **ベルマウスの取り外し**：ベルマウスの取りつけネジを手でゆるめて取り外します。

4. **ファンの取り外し**：ファンをゆるめるようにして取り外します。時計回りに回して外します。

5. **ファンの取り出し**：ファンを取り出します。

6. **ファンの洗浄**：ファンは中性洗剤を溶かしたぬるま湯で洗い、すすいで乾燥させます。

また、以下の注意事項が記載されています。

- **危険**：濡れた手でスイッチに触らないようにしてください。感電の恐れがあります。
- **警告**：ファンのお手入れの際は、滑らないようにゴム手袋を着用してください。
- **注意**：ファンをぶつけたり、落としたりしないでください。バランサーがついている場合は外さないでください。

