# Item 135
## content
この画像は、室内ドアやクローゼットドアの調整や取り外し方法について説明しています。

1. **調整ラッチ受け**
   - 調整ラッチ受けの形状により調整方法が異なります。
   - 調整ネジを上下に動かすことでスライダーの位置を左右にずらし、ローララッチの締まりを調整できます。
   - 適正な位置で調整ネジを締めて固定します。

2. **階段下収納ドア**
   - ラッチ部のフロント板のビスをドライバーで外します。
   - ボールラッチを右（時計回り）に回すとラッチが引っ込み、左（反時計回り）に回すとラッチが出ます。
   - ボールを適当な位置に調整し、フロント板を取り付けてください。

3. **快適エアリーのふかし天井下のドアパネルの取りはずし**
   - 横棒（上側）の芯の穴に下側からドライバーの先を入れて、軸を15mm程度押し上げると、ドアパネル全体を上方に持ち上げて取りはずすことができます。
   - ドアパネルを元に戻したい時は、軸を押して元の位置にしてください。

4. **ポケット上吊片引戸の取りはずし**
   - 扉を引き出し、完全に開く手前20cmくらいになったら、引き手側の吊車を外します。
   - 引き手側の扉を持ち、開きの直前の手が入るくらいまで引き出したら、床ガイドを外して間に隙間ができるように扉を少しずつ回転させ、戸袋側の吊車が見えるまで引き出します。
   - 戸袋側の吊車が見えたら、床ガイドに注意して扉を持ち上げるようにして外します。

