# Item 137
## content
この画像はガスレンジの手入れ方法についての説明です。以下のポイントが記載されています。

### お手入れのポイント
- 油などが飛んで汚れた時は、その日のうちにお手入れすると汚れが柔らかく簡単に落とせます。
- ガンコな汚れにはラップを使った湿布法も効果があります。
- 立消え安全装置は焦げ汚れなどで汚れたままにしておくと、機能が十分働かなくなり、寿命も縮めてしまいます。いつもきれいにしておきましょう。

### ガスレンジのお手入れ
- 表面がフッ素コートされているので、汚れがこびりつく前に乾いた布で汚れを拭き取ってください。
- 下図は代表的な例なので、詳しくは取扱説明書をご覧ください。

### ガンコな汚れの対処法
1. 汚れが簡単に落ちない場合は、中性洗剤や湯で汚れた部分を湿らせておき、20分ほど放置します。
2. スポンジや布など、やわらかいもので拭き取ってください。それでも落ちない場合は、1度目は湿布で汚れをやわらかくし、軽くこすって落としてください。繰り返すときは酢の薄めたものが効果的です。
3. 金属たわし、ナイロンたわし、みがき粉、レンジクリーナーや漂白剤などのアルカリ性洗剤は使用しないでください。キズ、シミ、変色、表面のフッ素コートを痛める原因となります。

### 快適情報
- 洗剤で湿らせたあとラップをかぶせると、洗剤が全体にいきわたり、乾燥を防ぐので、より効果的に汚れを落とすことができます。

