# Item 151
## content
このページは、ドアクローザーや玄関たたきの調整方法について説明しています。

### お手入れのポイント
- ドアの閉まりが遅い、勢いよく閉まる場合はドアクローザーを調整。
- スピードの調節は第1速、2速、3速の順に行う。
- 調整弁を右に回すと遅く、左に回すと速くなる。

### ドアクローザーの調整
- **勝手口ドア・Ba出入口ドア**
  1. ストップ用釘から調整。
  2. 第1速調整：ネジを右に回すと遅く、左に回すと速くなる。
  3. 第2速調整：第1速調整後に行う。

- **左吊りドア**
  1. 第1速調整：左吊りドアの調整弁を右に回すと遅く、左に回すと速くなる。
  2. 右吊りドア：右吊りドアの調整弁を右に回すと速く、左に回すと遅くなる。
  3. 調整の範囲：調整弁をプラスドライバーで調整。

### バックチェックの調整方法
- 風などによる急激な扉の開きを防止。
- バックチェックを強くするときは、ドアが開きにくくなるので注意。

このページは、ドアクローザーの調整方法を図解で説明しており、調整の際の注意点や手順が詳しく記載されています。

