# Item 154
## content
この画像は、窓ガラスのお手入れ方法について説明しています。以下のポイントが記載されています。

### お手入れのポイント
- 窓ガラスの汚れは目立ちやすいので、日頃からこまめに拭き掃除をしましょう。
- 窓ガラスのお掃除は、湿度の高い曇りの日にしましょう。太陽の日が直接当たらないと、窓ガラスが光らないので汚れを見つけやすくなります。また、湿度が高いと汚れがゆるむので拭き取りも楽になります。

### 窓ガラスのお手入れ
窓ガラスのお掃除の手順は、どの窓でも基本的には同じです。

#### 1階の窓
1. ざっと水で水拭きして、おおまかな汚れを流します。
2. ガラス用洗剤を窓枠の外れないように全体にスプレーし、汚れをゆるませます。
3. シールの跡などのこびりつきは、ヘラなどでこすり落とします。
4. 洗剤が下に流れ落ちないように、タオルを窓枠の下にあてがいます。
5. T字型ゴムベラで1〜5の順番にガラス面をこすり、汚れを落とします。
6. ガラスクリーナーをスプレーしてから拭き取ります。

#### 2階の窓・はめ殺し窓
- 高器用モップ（高所ラクラク君など）に洗剤を含ませガラス面を拭いたあと、ゴムベラでこすり落として汚れを落とします。

#### 天窓
- 結露などで汚れやすい場所です。室内側から、高所用モップでこまめに汚れを落とします。

### 注意点
- ガラス戸のすき間やガラス戸とサッシ枠の間にホースなどで強く水をかけると、家の中に水が入ってしまうことがあります。その場合は、サッシ枠にたまった水を拭き取ってください。

