# Item 155
## content
この画像は、外壁、底、屋根の手入れ方法についての説明です。以下のポイントが含まれています。

### お手入れのポイント
- ふだんの手入れは、ブラシに水を含ませてこすり、ホースで汚れを洗い流します。手が届かない場所は、伸縮自在のブラシが便利です。

### 外壁のお手入れ
- 換気扇のまわり：
  1. 油汚れのひどい部分に、洗剤を含ませたペーパーを通します。
  2. 汚れが浮いてきたら、ブラシでたくように汚れを取り水洗いします。
- 頑固な汚れ：
  - 食器用洗剤をブラシにつけてこすり、ホースで水をかけながら、ブラシで洗い流します。洗剤が残らないように水で十分に流してください。

### 汚れがひどい場合のお手入れ（タイル外壁）
- キッチン換気扇のまわり（油汚れ）・幹線道路面（煤汚れ）：
  1. 汚れたタイル、目地に市販のアルカリ性洗剤をつけ、専用ブラシでこすり洗いします。
  2. 水を流しながら洗浄用ブラシで、汚れたタイル、目地をこすり洗いします。汚れが残っている箇所がある場合は、乾燥後、繰り返してください。

### 注意事項
- 乾式目地材（ガスケット）の汚れが目立つ場合も同様に手入れしてください。
- ブラシは毛が細くて密なものをおすすめします。
- ブラシを使用すると外壁塗装、目地にキズがつくおそれがありますのでご注意ください。
- ガラスやサッシ枠には塗れないように水をかけないでください。
- 外壁の清掃中に異常な汚れがある場合は、アフターサービス部門へご連絡ください（有料工事となります）。
- 高圧洗浄機は、使用しないでください。
- 泥汚れなどには、犬走り（砂利敷きなど）が効果的であり、おすすめします。

