# Item 163
## content
このページは、ドアの建てつけ調整に関する説明が記載されています。以下の調整方法が紹介されています。

### A. 左右方向の調整
1. ドア側の調整取りつけネジ（4本）を緩める。
2. 調整スペーサー取りつけネジを外し、調整スペーサーを上下方向へ引抜く。
   - スペーサー（1mm）1枚はすき間1mm、スペーサー（2mm）1枚はすき間2mm。
3. 調整後、ネジをすべて締めつける。

### B. 傾き方向の調整
1. 左右方向の調整と同様の方法で、スペーサーを引抜いて調整する。
2. 戸先の傾き状態に合わせて、調整スペーサーを引抜いて調整する。

### C. 室外方向の調整
1. 枠側の調整ネジを緩めて調整する。
2. 調整後、ネジをすべて締めつける。

### 錠受けの調整
- 鍵のラッチがかからない場合、錠受け取りつけネジを緩め、錠受けを室外側にずらす。

### 片開き・両開き玄関ドアの建てつけ調整
- ドアがスムーズに開かない場合、ラッチボルトが受け金具にうまく収まらないことが原因と考えられる。
- ラッチボルトに潤滑剤（または鉛筆の芯）を塗布する。

### カギ穴の調整
- カギの抜き差しや回転がスムーズでない場合、カギ穴のすべての部位を鉛筆でなぞる。
- それでも改善しない場合は潤滑剤を使用する。

各調整方法には、注意事項として、緩めたネジや取り外した部品は必ず元に戻すことが強調されています。

