# Item 169
## content
この画像は、アルミ樹脂複合サッシのメンテナンスに関する説明を含んでいます。以下の内容が含まれています。

1. **クレセント（サッシ錠）がかかりにくい場合の対処法**
   - サッシの枠を直してもかかりにくい場合、クレセント本体はネジをゆるめて上下に移動するので、適当な位置で固定します。
   - クレセント受けはネジをゆるめると左右に移動するので、同様に調整します。
   - クレセントにカバーがかかっている場合は、カバーをはずし、同じ要領で調整してください。

2. **ガラス戸とサッシ枠の耐震ブロックが揺れる場合の対処法**
   - ガラス戸と耐震ブロックが揺れる場合は、揺れる側のガラス戸を開け、耐震ブロックが見えるようにします。
   - サッシ枠に止めているネジをプラスドライバーで回して、耐震ブロックを静かにはずします。
   - ネジにはまったスペーサーを数え取り、元どおりに耐震ブロックを取り付けてください。

3. **戸車が割れてしまった場合の対処法**
   - 戸車が割れていたり、欠けていた場合は交換してください。交換は10年が目安です。交換の際は、アフターサービス部門へご相談ください。

4. **注意事項**
   - 防火仕様サッシの場合、障子等に加熱発泡剤（黒色）が施されている場合があります。防火性能上必要であれば外さないでください。
   - 部品交換等を行う場合は、防火性能に影響を与えないので、必ずアフターサービス部門へご相談ください。

