# Item 174
## content
この画像は食器洗い乾燥機の手入れとお掃除に関する説明です。

### お手入れ（各タイプ共通）
- **本体**
  - ベンジン、シンナー、クレンザー、ワックスなどは使用しないでください。塗装やプラスチック部分が損傷したり、変色したりします。
  - 化学ぞうきんをご使用の際は、注意書きに従ってください。
  - 表面の汚れは、固く絞ったぞうきんか化学ぞうきんで拭き取ります。

- **庫内やドアの内面**
  - お手入れは固く絞ったぞうきんで拭き、時々、専用洗浄剤を使用し、食器を入れずに運転します。

### 食器洗浄機のお掃除
- 下図は代表的な例なので、詳しくは取扱説明書をご覧ください。

- **残菜フィルター**
  - 使用後、毎回、残菜フィルターを掃除してください。汚れが落ちにくい場合はブラシでこすり落とします。やけどの恐れがあるので、運転終了後、約30分おいて庫内が冷えてから行ってください。

- **ノズル**
  1. ノズルの中央を手でつかみ、真上に引き抜いて外します。
  2. 水につけてゆすって汚れを落としてください。取り付ける時は、本体のパイプ部の中心にノズルのパイプ部を入れ、ノズルを「カチッ」というまで押し込みます。最後にノズルが手で軽く回ることを確認してください。

