# Item 176
## content
この画像は、太陽光発電システムの使用方法についての説明です。京セラ製、カネカ製、ソーラーフロンティア製の屋内パワコンに対応しています。

### 連系運転の使い方（通常時）
- **運転スイッチを「入」にする**ことで連系運転を開始し、「切」にすると連系運転を停止します。
- 運転スイッチを「入」にしてから数秒後に連系運転ランプが点灯して運転を開始します。
- 太陽光発電がされていない場合、または停電時には連系運転を開始できません。

### 自立運転の使い方（停電時）
#### 連系運転から自立運転に切り替える
1. **運転スイッチを「切」にする**
   - 太陽の日射が弱いときは自立運転を行うための機器のスイッチを確認し、停止してしまうことがあるため、故障ではありません。
2. **外部のサービスブレーカーを「OFF」にする**
   - 分電盤、サービスブレーカーの形状が異なる場合があります。
3. **運転スイッチを「入」にする**
   - 切り替え条件が整えば、運転スイッチを「切」から「入」にして、表示部に「E02」を表示させます。

#### 自立運転から連系運転に切り替える
1. **運転スイッチを「切」にする**
2. **外部のサービスブレーカーを「ON」にする**
3. **運転スイッチを「入」にする**
   - 外部のサービスブレーカーを「ON」にしてから2.5～5分間は発電を開始しません。

