# Item 183
## content
この画像は「第1種換気システム（エアーファクトリー）」に関する注意事項を示しています。主に、ガラリ・グリル本体や床ガラリの取り扱いに関する警告と注意が記載されています。

### 警告
- **損傷およびケガの原因**
  - 床ガラリは外さずに清掃すること。
  - ガラリ・グリル本体や床ガラリに割れやヒビがある場合は交換が必要。
  - 10年を目安に交換が必要。
  - 汚れた場合は柔らかい布で拭く。
  - 強度が低下するため、ガラリ・グリル本体や床ガラリを踏まないこと。

### 禁止事項
1. **熱湯で洗浄**
   - 床ガラリに熱湯をかけることは禁止。
2. **水やお湯に浸け置き**
   - 床ガラリを水やお湯に浸けることは禁止。
3. **ソナー、ベンジン等の使用**
   - 床ガラリにソナーやベンジンを使用することは禁止。
4. **アルコール類の使用**
   - 床ガラリにアルコール類を使用することは禁止。
5. **高圧洗浄機で洗浄**
   - 床ガラリに高圧洗浄機を使用することは禁止。
6. **硬いブラシ等の使用**
   - 床ガラリに硬いブラシを使用することは禁止。

### 注意
- **室内乾燥の原因**
  - 空気が乾燥する場合は加湿器を使用。
  - 加湿器の取扱説明書に従って使用すること。
  - 水道水などに含まれるカルキ成分が加湿器から放出されることがある。

この情報は、ガラリ・グリルの適切な取り扱いとメンテナンスに関する重要な指針を提供しています。

