# Item 204
## content
この画像は、ニチコン製太陽光パワコンのリモコン操作に関する説明です。リモコンの各部名称と機能が記載されています。

- **リモコンの機能**
  - 本システムの稼働状況を表示。
  - 運転モードの切り換え。

- **リモコンの各部**
  - 画面：表示画面を操作。
  - 電源スイッチ：リモコンの電源をON/OFF。
  - 電源ランプ：運転ON時に点灯。
  - リセットボタン：電源スイッチがOFFにできない場合、強制的に電源をOFF。
  - 状態/信号ランプ：通常、VtoH連携時に蓄電状態を表示。
  - 太陽光発電ランプ：太陽光発電中に点灯。
  - 自立運転ランプ：停電時に点灯。
  - 点検ランプ：点検中に点灯。

- **画面表示**
  - リモコン画面をタッチして操作。
  - ホーム画面の説明：
    1. お知らせ：タッチでお知らせを確認。
    2. 家アイコン：タッチで各種設定/グラフ表示。
    3. 充電電力：充電電力を表示。
    4. 画面オフ：タッチで画面表示を消去。
    5. ネットワーク：ネットワーク接続状態を表示。
    6. 時計：現在時刻を表示。
    7. 太陽光パネルアイコン：接続している太陽光発電パネルの発電電力を表示。

- **ネットワーク接続状態**
  - 有線LAN使用時：接続状態を表示。
  - 無線LAN使用時：接続状態を表示。

