# Item 211
## content
この画像は、YKKAP製の玄関電気錠「リモコンキー（ハイム）」「ポケットキー（ツーユー）」の操作方法を説明しています。リモコンキーシステムは、YKKAPのスマートコントロールキーを使用したシステムで、リモコン操作、ハンドルボタン、カード操作により、鍵の開け閉めが可能です。手動操作や非常時の操作方法も記載されています。

### 操作方法
- **室内からハンドルボタン/リモコンによる操作方法**
  - ハンドルボタンによる施錠と解錠：リモコンキーやポケットキーを持っているときに、ハンドルボタンを押すと施錠・解錠ができます。
  - リモコンによる施錠と解錠：リモコンのボタンを押すと施錠・解錠ができます。

- **室外からカードキーによる操作方法**
  - 施錠と解錠：カードキーを室外ハンドルの読み取り部に近づけると施錠・解錠ができます。解錠時はLEDが点灯します。

### 非常時の操作方法
- 停電時などカードキーによる施錠・解錠ができない場合は、ディンプルキーを使って手動で施錠・解錠を行います。

### 注意事項
- 工場出荷時設定では、自動施錠機能はOFFになっています。
- 解錠時、一方向目のサムターン解錠後、ドアが動かないと5秒後に施錠状態に戻ります。
- 施錠時は、上のサムターンを回すことで、下のサムターンが連動し施錠されます。

詳細な取扱説明書は、YKKAPのホームページで確認できます。

