# Item 217
## content
この画像は、ニチコン製の蓄電池システム（4kWh/8kWh、屋内設置）の操作方法について説明しています。

### 操作方法
- **停電時の使い方（自立運転）**
  - 停電発生時、リモコンの操作なしで自動で発電、電気が使えます。
  - 使用可能な消費電力の目安は約1500Wです。
  - 消費電力が大きい電気製品を接続すると、太陽光からの電力供給が停止したり、分電盤のブレーカーが遮断される場合があります。
  - 生命維持に必要な医療機器は、蓄電池以外のバックアップ電源を用意してください。

### 使用可能なコンセント、スイッチ
- **家一部仕様（標準）の場合**
  - 停電時は、あらかじめ設置した非常時専用コンセント、スイッチが使用できます。
  - 200V家電は使用できません。

- **家まるごと仕様（オプション）の場合**
  - 停電時は、家中のコンセント、スイッチが使用可能です。
  - 200V家電も使用できます。
  - スマートハイムなどで使用する場合は、特定の機器が使用不可になることがあります。

### こんな時は
- **ブザーが鳴った時**
  - ブザーが鳴った場合は、室内のリモコン画面に表示されるエラーメッセージの内容に従って処置してください。

- **長期不在の場合**
  - 長期不在時は、蓄電モードを「経済モード」か「グリーンモード」に設定し、蓄電池用ブレーカーと契約ブレーカーはONにしてください。

- **室内リモコンが動かなくなった場合**
  - 室内リモコンのアイコンをリセットすることができます。リモコンが動かない場合は、リモコンをリセットしてください。

- **リモコンの画面が表示されない場合**
  - 画面が表示されない場合は、リモコンが故障している可能性があります。アフターサービス部門に連絡してください。

