# Item 58
## content
この画像は、停電時に備えて確認・操作することについてのガイドです。以下の項目が含まれています。

### スマートハイムナビ
- **停電・台風に備えて**
  - 非常時用コンセントとルーターの確認。
  - 太陽光発電・蓄電池の使い方を確認。
  - マイホーム画面での確認。
- **停電が発生したら**
  - 蓄電池の残量・使用時間を確認。

### 太陽光発電
- **停電・台風に備えて**
  - 非常用コンセントの確認。
  - 同時に使用できる電力の確認。
- **停電が発生したら**
  - 自立運転切り替え操作。
  - 復電したら、系統連携切り替え操作。

### 蓄電池・VtoH
- **停電・台風に備えて**
  - 切替開閉器の位置確認。
- **停電が発生したら**
  - 蓄電池の操作は不要。
  - 同時に使用できる電力の確認。
- **復電したら**
  - 自動的に通常運転に戻る。

### 快適エアリー
- **停電・台風に備えて**
  - リモコンの“停電時”表示の確認。
- **停電が発生したら**
  - 必ず電源をオフにする。
- **復電したら**
  - 省エネモードを解除。

QRコードがいくつか含まれており、詳細な情報や操作手順を確認するために使用できます。

