# Item 63
## content
この文書は「長期優良住宅 設備交換記録シート【本州版】」で、一次エネルギー消費量等級の基準を適用された住宅に関するものです。2022年10月以降に長期優良住宅申請をした住宅は、評価対象となる設備（暖冷房設備、照明、給湯器等）を認定時と同等以上の性能を有する設備に交換する必要があります。交換の際には、認定番号等の手続きが必要です。変更内容についてはメンテナンスの状況を記録して保存する必要があります。

1. 記録の対象となる設備機器：
   - 暖冷房：快適エアリー、ウォームファクトリー、エアコン
   - 換気・熱交換：空気工房
   - 換気扇（レンジフード、浴室、トイレ、廊下、階段等）
   - 給湯器（エコキュート、エコジョーズ等）
   - 水栓（キッチン、浴室シャワー、洗面等）
   - 高断熱浴槽
   - 照明器具（LED、蛍光灯、白熱電球等）
   - 人感センサー、多灯分散照明、調光が可能な制御

2. メンテナンス状況の記録のお願い：
   - 対象となる設備を交換した場合は、変更内容をメンテナンス状況に関する記録として、第一面の記録表に記入してください。
   - 弊社に交換を依頼した場合は、弊社でもメンテナンス状況に関する記録を保存します。

3. その他、不明点がございましたら、弊社お客様センターまでご相談ください。

