# Item 71
## content
この画像は、建物の保証に関する表と免責事項のリストを含む文書です。

### 表の内容
- **区分**: 屋根、外壁、建具、内装仕上げ、工作、構造体
- **対象部位**: 屋根、外壁、軒天、雨樋、窓、ドア、床、壁、天井、基礎、柱、梁など
- **保証の対象となる現象例**: 地盤沈下、雨漏り、木材の腐食、ひび割れ、欠損、破損、変形など
- **適用除外**: 地盤変動、立地条件、設計仕様外の負荷、自然災害、経年劣化など
- **保証期間**: 2年、5年、10年

### 免責事項
1. 当社が関与しない増改築等に起因するもの
2. 当該工事をした住宅性能工事に起因するもの
3. 天災地変、戦争、暴動、騒乱、その他の不可抗力に起因するもの
4. 不具合の発生が通常の使用における摩耗、劣化、消耗に起因するもの
5. 入居者又は第三者の故意、過失に起因するもの
6. 住宅の使用、維持、管理が不適切であることに起因するもの
7. 住宅の使用、維持、管理が不適切であることに起因するもの
8. 住宅の使用、維持、管理が不適切であることに起因するもの
9. 住宅の使用、維持、管理が不適切であることに起因するもの
10. 住宅の使用、維持、管理が不適切であることに起因するもの
11. 住宅の使用、維持、管理が不適切であることに起因するもの
12. 住宅の使用、維持、管理が不適切であることに起因するもの
13. 住宅の使用、維持、管理が不適切であることに起因するもの
14. 住宅の使用、維持、管理が不適切であることに起因するもの
15. 住宅の使用、維持、管理が不適切であることに起因するもの
16. 住宅の使用、維持、管理が不適切であることに起因するもの
17. 住宅の使用、維持、管理が不適切であることに起因するもの
18. 住宅の使用、維持、管理が不適切であることに起因するもの
19. 上記に起因せず、設計・施工上の欠陥がない場合

この文書は、保証の対象となる現象や適用除外、免責事項について詳細に説明しています。

