# Item 92
## content
この文書は、ダニ対策について説明しています。ダニは種類によって異なり、畳を食べる毛皮コナダニやフケを好むチリダニなどが存在し、アレルギーの原因になることがあります。ダニの発生は新築直後に限られていましたが、現在は住宅の気密性が向上したため、ダニの卵が越冬し毎年発生しやすくなっています。

**ダニの発生と繁殖条件**
- ダニは1年中あらゆる場所で繁殖します。
- ダニの種類は数多く、私たちの周りには特に40種類以上のダニが生息しています。
- 季節では6月から10月に最も多く発生します。
- ダニが最も繁殖しやすい条件は以下の通りです：
  1. 温度25～28℃
  2. 湿度70～80％
  3. エサがあり卵を産める場所（畳やカーペット敷きの部屋）

**ダニの駆除方法**
- 繁殖してから駆除するよりも日ごろから通気に心がけ、こまめなお掃除で繁殖を抑えることが大切です。
- ダニが発生したら、エアコンの除湿運転を1日2～3回行い、部屋を乾燥させた状態に保ちます。
- 畳やカーペットに生息するチリダニは駆除剤では駆除できませんが、50℃以上で過熱すると6時間で95％、12時間でほぼ死滅します。
- 床の材質によって、それぞれの手順でダニを退治しましょう。

**畳の対策**
- ダニ退治機能つきの電気掃除機で畳の畳面でいないに吸い取ったあと、畳の下に防ダニシートを敷きます。
- プラスチック材を使用した新畳に取り替えます。

