# Item 97
## content
この文書は、スイッチとコンセントの使用に関する注意事項を説明しています。

### スイッチ
- スイッチは種類によって接続できる電気機器の合計ワット数が決められています。電気機器を増設する際は、ワット数を超えないように注意が必要です。

### スイッチ類のお手入れ
- 洗剤は必ず布に吹きつけてから使用し、直接吹きつけないようにします。漏電や事故の原因になるためです。
- 電気のプレートを切り、固く絞ったぞうきんで拭きます。洗剤を直接吹きつけるのは避けます。
- ホタルスイッチやパイロットランプの点灯は、電気の使用を示します。点灯している場合は電気が流れているので注意が必要です。
- スイッチパネルの差し替えは専門の電気工事士に依頼します。

### 危険
- 漏電や火災の原因になるため、ワット数を超えないように注意します。特にシャンデリアや多数のダウンライト、消費電力の大きな電気器具を使用する際は注意が必要です。
- 一般のスイッチは1,500W以下、パイロットスイッチやリモコンスイッチ類は400W以下、省電力用スイッチは50W以下で使用します。
- スイッチの配線器具を変えないようにします。
- エアコンなどの取りつけは、専用の回路が必要です。

### 感電の原因
- スイッチには電流が流れているため、濡れた手で操作しないようにします。
- お手入れは必ず電気のプレートを切ってから行います。

### 注意
- スイッチは軽く押すだけで操作できます。叩くなどの強い力を加えないようにします。

